cycle_index,t_start,t_end,cycle_duration_nominal,sample_count,theta0_rad,theta_start_rad,theta_end_rad,max_abs_vel_rad_s,mean_abs_vel_rad_s,rms_vel_rad_s,mean_vel_rad_s,max_abs_delta_theta_rad,mean_abs_delta_theta_rad,rms_delta_theta_rad,ptp_theta_rad,vel_bound_rad_s,satisfy_vel_bound,angle_margin_ratio
969,1774257675.6368902,1774257675.6868901,0.05,4,-0.5050058963497345,-0.5050058963497345,-0.5397328293605705,2.1480680950437416,1.1869721705438883,1.4252721529595236,-1.1869721705438883,0.03472693301083607,0.012549537632458946,0.01859628467262647,0.03472693301083607,0.9,0,0.7717096224630237
970,1774257675.6868901,1774257675.73689,0.05,6,-0.5437169388443518,-0.5437169388443518,-0.4749417685855575,4.694552309772301,2.122532919820382,2.6793680112082394,1.7711140932790452,0.06877517025879432,0.029127102118482212,0.03705287922934704,0.06877517025879432,0.9,0,1.5283371168620958
971,1774257675.73689,1774257675.78689,0.05,5,-0.5659989398682943,-0.5659989398682943,-0.39707740737051767,6.470747514618862,4.615875237268481,5.046844237672645,4.615875237268481,0.16892153249777664,0.0965894106861186,0.11593626059129321,0.16892153249777664,0.9,0,3.7538118332839248
972,1774257675.78689,1774257675.83689,0.05,5,-0.3799119926188082,-0.3799119926188082,-0.27789938185745383,6.591632301222301,3.994350213232697,4.458460141911911,2.526150578363034,0.10201261076135437,0.039826378506952295,0.053540129942800836,0.13091171427306209,0.9,0,2.266946905807875
973,1774257675.8368902,1774257675.8868902,0.05,5,-0.21650153987850235,-0.21650153987850235,-0.16215815682411386,4.519374776569244,1.708098958120412,2.4087971689105347,1.3454781633815491,0.05434338305438849,0.014785218148158303,0.024875646958481323,0.061658488690704866,0.9,0,1.2076307345419663
974,1774257675.8868902,1774257675.9368901,0.05,5,-0.1268802683474549,-0.1268802683474549,-0.07605085285987911,5.4922924257731705,2.481079152125423,3.078617668163077,1.3971197468450438,0.0681254860704553,0.04300801261812433,0.0487101020984159,0.0681254860704553,0.9,0,1.5138996904545619
975,1774257675.9368901,1774257675.98689,0.05,5,-0.06339301996197645,-0.06339301996197645,-0.1329097253194856,3.271684287224403,1.7405650611205539,1.9555293271537266,-1.7405650611205539,0.06951670535750916,0.036607684406331775,0.045273644803627715,0.06951670535750916,0.9,0,1.5448156746113144
976,1774257675.98689,1774257676.03689,0.05,5,-0.1563963339510326,-0.1563963339510326,-0.23452102939160874,4.810923593434196,2.415459924863409,3.085754244238348,-2.415459924863409,0.07812469544057613,0.03338433327930737,0.0449418367183197,0.07812469544057613,0.9,0,1.7361043431239136
977,1774257676.03689,1774257676.08689,0.05,5,-0.24403323797691975,-0.24403323797691975,-0.26621650579191763,1.569529743580524,1.1853494311554715,1.252501728957464,-0.5616017649527969,0.03511148656444077,0.020673126588934287,0.023979464332188217,0.03511148656444077,0.9,0,0.7802552569875726
978,1774257676.0868902,1774257676.1368902,0.05,5,-0.194506144042256,-0.194506144042256,-0.3389741383964117,5.661691155629269,3.7054202293452407,3.9931215880791386,-3.7054202293452407,0.14446799435415572,0.08398649571820253,0.09902476538253326,0.14446799435415572,0.9,0,3.2103998745367934
979,1774257676.1368902,1774257676.1868901,0.05,5,-0.3600897996627108,-0.3600897996627108,-0.3587599978991868,8.121528235061785,4.714385089854048,5.233088262850234,0.2254268979650187,0.09422125172438872,0.04498433768047831,0.05921695067662789,0.09422125172438872,0.9,0,2.0938055938753046
980,1774257676.1868901,1774257676.23689,0.05,5,-0.4543793668496796,-0.4543793668496796,-0.48867272229193254,4.1582802589641314,1.9007095933567266,2.4057373957295556,-0.908617116842581,0.034293355442252926,0.01261387445688721,0.017828673269555017,0.05343930514426809,0.9,0,0.7620745653833982
981,1774257676.23689,1774257676.28689,0.05,4,-0.463255687311008,-0.463255687311008,-0.5026286321793624,5.315692452591104,3.941651651035175,4.110782180471647,-1.2440601765572128,0.08102533054804734,0.04533450150862371,0.054380565797517606,0.08102533054804734,0.9,0,1.8005629010677184
982,1774257676.28689,1774257676.33689,0.05,6,-0.481351532680368,-0.481351532680368,-0.4276346852163345,3.875607249111104,2.7221526603815525,2.876166062953307,1.20896236348337,0.07027847427379136,0.03343020374810587,0.040842705267077284,0.07027847427379136,0.9,0,1.561743872750919
983,1774257676.3368902,1774257676.3868902,0.05,5,-0.3898812533714218,-0.3898812533714218,-0.36979804589692067,5.178373964280921,2.3482734420058584,3.1471378257277127,0.5827218658243856,0.05440162809993104,0.035053738270542076,0.04112759436406922,0.05440162809993104,0.9,0,1.2089250688873563
984,1774257676.3868902,1774257676.4368901,0.05,5,-0.3572400938979848,-0.3572400938979848,-0.2603043285675049,8.131047334773799,3.830952342154385,4.676103339588865,2.0541869728328828,0.120020877760628,0.050151096907465734,0.07004587554509503,0.1279931246811327,0.9,0,2.667130616902844
985,1774257676.4368901,1774257676.48689,0.05,5,-0.29294101673985323,-0.29294101673985323,-0.18325618009480987,9.833441852315865,4.480470196028829,5.6101597034859125,2.501175173623234,0.10968483664504336,0.03143163645292178,0.051218337643725624,0.14030566206830497,0.9,0,2.4374408143342965
986,1774257676.48689,1774257676.53689,0.05,5,-0.21758291186812267,-0.21758291186812267,-0.31585689650501875,3.995079667081653,2.495002074997899,2.6528078193064517,-2.495002074997899,0.09827398463689607,0.04975609963847687,0.06139313061765399,0.09827398463689607,0.9,0,2.183866325264357
987,1774257676.53689,1774257676.58689,0.05,5,-0.2472182709913121,-0.2472182709913121,-0.2611664279812319,5.762444118178562,2.732385963768199,3.65908813994026,-0.21441800778648887,0.04224426496293687,0.01892867108247386,0.023320049330702784,0.062085099998612,0.9,0,0.9387614436208193
