time,dt,roll_wrapped_rad,roll_unwrapped_rad,droll_rad,roll_vel_rad_s
1774257680.5535696,0.009494781494140625,-0.39507921188421125,-0.39507921188421125,0.05479366115030815,5.770923868455757
1774257680.563875,0.010305404663085938,-0.39891599591811433,-0.39891599591811433,-0.0038367840339030845,-0.37230794513547666
1774257680.573777,0.009902000427246094,-0.3925191113115027,-0.3925191113115027,0.006396884606611641,0.6460194234096512
1774257680.583636,0.009859085083007812,-0.3885480031981004,-0.3885480031981004,0.0039711081134022885,0.4027866764479511
1774257680.5940104,0.010374307632446289,-0.39523413154946696,-0.39523413154946696,-0.00668612835136656,-0.6444891156355611
1774257680.6046898,0.010679483413696289,-0.3951949969109116,-0.3951949969109116,3.913463855537147e-05,0.0036644692481269123
1774257680.6139088,0.009218931198120117,-0.33800291957795975,-0.33800291957795975,0.05719207733295184,6.2037644173561235
1774257680.6237073,0.009798526763916016,-0.3340623313088849,-0.3340623313088849,0.003940588269074841,0.402161300777013
1774257680.6340015,0.010294198989868164,-0.31927135085169467,-0.31927135085169467,0.01479098045719024,1.4368267479332713
1774257680.6439154,0.009913921356201172,-0.28429295651689057,-0.28429295651689057,0.0349783943348041,3.5282097848118457
1774257680.6540499,0.010134458541870117,-0.2819048639677793,-0.2819048639677793,0.002388092549111265,0.23564086223698624
1774257680.6638138,0.009763956069946289,-0.31443732277891984,-0.31443732277891984,-0.03253245881114053,-3.3318931976021773
1774257680.6737309,0.009917020797729492,-0.30615650789548543,-0.30615650789548543,0.008280814883434406,0.8350103375128853
1774257680.6838732,0.010142326354980469,-0.28671988671278215,-0.28671988671278215,0.019436621182703284,1.9163868823012957
1774257680.6942956,0.010422468185424805,-0.2547366576202782,-0.2547366576202782,0.03198322909250395,3.0686809039369938
1774257680.7038124,0.009516716003417969,-0.21694206681716915,-0.21694206681716915,0.03779459080310904,3.9713900036036542
1774257680.7146857,0.01087331771850586,-0.14482572493374687,-0.14482572493374687,0.07211634188342228,6.63241374439779
1774257680.7241738,0.009488105773925781,-0.14159770832657548,-0.14159770832657548,0.0032280166071713967,0.34021718181539395
1774257680.733946,0.009772300720214844,-0.11239628058791161,-0.11239628058791161,0.029201427738663868,2.988183496876862
1774257680.7439995,0.010053396224975586,-0.11853977243019695,-0.11853977243019695,-0.00614349184228534,-0.6110862145294844
1774257680.7542386,0.010239124298095703,-0.09949376787573397,-0.09949376787573397,0.01904600455446298,1.8601204556140805
1774257680.7637746,0.009536027908325195,-0.07057949040922926,-0.07057949040922926,0.028914277466504712,3.032109149057944
1774257680.7738683,0.01009368896484375,-0.025840921072464076,-0.02584092107246408,0.04473856933676518,4.432330884435741
1774257680.7838032,0.00993490219116211,-0.07411870965784388,-0.07411870965784388,-0.0482777885853798,-4.859412569589941
1774257680.7937942,0.009990930557250977,-0.05607805140405509,-0.05607805140405509,0.01804065825378879,1.8057034978284057
1774257680.803782,0.009987831115722656,-0.05638070544248066,-0.05638070544248066,-0.0003026540384255677,-0.030302278334395884
1774257680.8141572,0.010375261306762695,-0.0694072010290142,-0.0694072010290142,-0.013026495586533536,-1.255534217537513
1774257680.8242521,0.010094881057739258,-0.0609514879380109,-0.0609514879380109,0.008455713091003299,0.837623845455882
1774257680.8335726,0.009320497512817383,-0.048420370771584446,-0.048420370771584446,0.01253111716642645,1.3444686991433537
1774257680.84382,0.010247468948364258,-0.06618696413256331,-0.06618696413256331,-0.017766593360978862,-1.7337543007451452
1774257680.85428,0.01045989990234375,-0.07171814644527086,-0.07171814644527086,-0.00553118231270755,-0.5287987805187483
1774257680.8639345,0.009654521942138672,-0.11627784661915876,-0.11627784661915877,-0.04455970017388791,-4.615422746039877
1774257680.8742898,0.010355234146118164,-0.18671741034563136,-0.18671741034563138,-0.07043956372647261,-6.802314919443718
1774257680.884708,0.010418176651000977,-0.2034634207510855,-0.20346342075108553,-0.016746010405454148,-1.607383994957044
1774257680.89413,0.009422063827514648,-0.17492766231597495,-0.17492766231597498,0.028535758435110553,3.0286101811133364
1774257680.904149,0.010019063949584961,-0.15690796675955143,-0.15690796675955146,0.01801969555642352,1.7985408264781049
1774257680.9160366,0.011887550354003906,-0.24070467548062177,-0.2407046754806218,-0.08379670872107034,-7.049114933325717
1774257680.9237165,0.007679939270019531,-0.2837996078791123,-0.2837996078791123,-0.04309493239849049,-5.6113636948565215
1774257680.9343033,0.010586738586425781,-0.307102496051893,-0.307102496051893,-0.0233028881727807,-2.201139471098252
1774257680.944196,0.009892702102661133,-0.33148887987601083,-0.33148887987601083,-0.02438638382411784,-2.4650882611291727
1774257680.9537017,0.009505748748779297,-0.36360137800669284,-0.36360137800669284,-0.03211249813068201,-3.3782186947457253
1774257680.9635947,0.009892940521240234,-0.36928225445142804,-0.36928225445142804,-0.0056808764447351945,-0.5742353785043285
1774257680.975339,0.011744260787963867,-0.3393530533566551,-0.3393530533566551,0.029929201094772928,2.5484108055098655
